HYPERPARAMS
n_neurons_hl1 = 256
n_neurons_hl2 = 256
discount = 0.99
learning_rate = 0.001
##################################################
EP	reward	steps	d_start	d_end	covered	info
119	-43.9	100	0.0177	0.0506	-0.0329	MAX STEPS 100 REACHED, DISTANCE 0.0506.
120	-135.9	85	0.0677	0.0187	0.0491	ACTUATOR EXCEEDED: l2 = 0.0740 @step 85
121	-56.2	100	0.0766	0.1046	-0.0279	MAX STEPS 100 REACHED, DISTANCE 0.1046.
122	-49.5	100	0.0447	0.0462	-0.0015	MAX STEPS 100 REACHED, DISTANCE 0.0462.
123	-54.7	100	0.0702	0.0878	-0.0177	MAX STEPS 100 REACHED, DISTANCE 0.0878.
124	-137.1	85	0.0239	0.0870	-0.0630	ACTUATOR EXCEEDED: l2 = 0.0740 @step 85
125	-134.1	65	0.0812	0.0894	-0.0082	ACTUATOR EXCEEDED: l2 = 0.0740 @step 65
126	-46.9	100	0.0327	0.0740	-0.0413	MAX STEPS 100 REACHED, DISTANCE 0.0740.
127	-127.4	48	0.0961	0.1243	-0.0283	ACTUATOR EXCEEDED: l2 = 0.0740 @step 48
128	-47.3	100	0.0866	0.0347	0.0519	MAX STEPS 100 REACHED, DISTANCE 0.0347.
129	-53.8	100	0.0968	0.0765	0.0202	MAX STEPS 100 REACHED, DISTANCE 0.0765.
130	-154.7	100	0.1038	0.0861	0.0176	ACTUATOR EXCEEDED: l2 = 0.0740 @step 100
131	-45.5	100	0.0487	0.0299	0.0188	MAX STEPS 100 REACHED, DISTANCE 0.0299.
132	-140.0	80	0.0519	0.0810	-0.0291	ACTUATOR EXCEEDED: l2 = 0.0740 @step 80
133	-56.6	100	0.0973	0.1091	-0.0118	MAX STEPS 100 REACHED, DISTANCE 0.1091.
134	-40.6	100	0.0378	0.0273	0.0106	MAX STEPS 100 REACHED, DISTANCE 0.0273.
135	-38.3	100	0.0172	0.0353	-0.0181	MAX STEPS 100 REACHED, DISTANCE 0.0353.
136	-51.3	100	0.0748	0.0473	0.0275	MAX STEPS 100 REACHED, DISTANCE 0.0473.
137	-139.8	71	0.1019	0.1121	-0.0102	ACTUATOR EXCEEDED: l1 = 0.0740 @step 71
138	-50.0	100	0.0590	0.0519	0.0071	MAX STEPS 100 REACHED, DISTANCE 0.0519.
139	-51.4	100	0.0816	0.0663	0.0153	MAX STEPS 100 REACHED, DISTANCE 0.0663.
140	-153.7	98	0.0840	0.0952	-0.0112	ACTUATOR EXCEEDED: l3 = 0.0740 @step 98
141	-55.1	100	0.0971	0.0872	0.0099	MAX STEPS 100 REACHED, DISTANCE 0.0872.
142	-48.6	100	0.0497	0.0476	0.0021	MAX STEPS 100 REACHED, DISTANCE 0.0476.
143	-56.3	100	0.0829	0.0818	0.0011	MAX STEPS 100 REACHED, DISTANCE 0.0818.
144	-122.4	41	0.0801	0.1148	-0.0347	ACTUATOR EXCEEDED: l2 = 0.0740 @step 41
145	-138.3	92	0.0356	0.0584	-0.0228	ACTUATOR EXCEEDED: l3 = 0.0740 @step 92
146	-52.6	100	0.0775	0.0992	-0.0217	MAX STEPS 100 REACHED, DISTANCE 0.0992.
147	-46.7	100	0.0403	0.0327	0.0076	MAX STEPS 100 REACHED, DISTANCE 0.0327.
148	-140.9	79	0.0983	0.0636	0.0348	ACTUATOR EXCEEDED: l2 = 0.0740 @step 79
149	-140.3	95	0.0223	0.0633	-0.0410	ACTUATOR EXCEEDED: l3 = 0.0740 @step 95
150	-56.6	100	0.1022	0.0910	0.0112	MAX STEPS 100 REACHED, DISTANCE 0.0910.
151	-129.2	56	0.0811	0.0859	-0.0048	ACTUATOR EXCEEDED: l3 = 0.0740 @step 56
152	-149.0	95	0.0592	0.0813	-0.0221	ACTUATOR EXCEEDED: l3 = 0.0740 @step 95
153	-141.2	85	0.0662	0.0291	0.0371	ACTUATOR EXCEEDED: l2 = 0.0740 @step 85
154	-52.8	100	0.0984	0.0789	0.0195	MAX STEPS 100 REACHED, DISTANCE 0.0789.
155	-148.9	99	0.0383	0.0866	-0.0483	ACTUATOR EXCEEDED: l2 = 0.0740 @step 99
156	-51.9	100	0.0653	0.0969	-0.0316	MAX STEPS 100 REACHED, DISTANCE 0.0969.
157	-45.5	100	0.0340	0.0406	-0.0066	MAX STEPS 100 REACHED, DISTANCE 0.0406.
158	81.8	53	0.0199	0.0043	0.0156	GOAL!!! DISPLACEMENT 0.0043m @step 53
159	-47.2	100	0.0829	0.0322	0.0507	MAX STEPS 100 REACHED, DISTANCE 0.0322.
160	-48.8	100	0.0503	0.0623	-0.0121	MAX STEPS 100 REACHED, DISTANCE 0.0623.
161	-52.8	100	0.0662	0.1026	-0.0363	MAX STEPS 100 REACHED, DISTANCE 0.1026.
162	-48.0	100	0.0263	0.0649	-0.0386	MAX STEPS 100 REACHED, DISTANCE 0.0649.
163	-138.8	86	0.0655	0.0512	0.0143	ACTUATOR EXCEEDED: l1 = 0.0740 @step 86
164	-37.7	100	0.0268	0.0290	-0.0022	MAX STEPS 100 REACHED, DISTANCE 0.0290.
165	-40.1	100	0.0310	0.0364	-0.0054	MAX STEPS 100 REACHED, DISTANCE 0.0364.
166	-45.0	100	0.0598	0.0412	0.0186	MAX STEPS 100 REACHED, DISTANCE 0.0412.
167	-54.7	100	0.0919	0.1006	-0.0087	MAX STEPS 100 REACHED, DISTANCE 0.1006.
168	-56.2	100	0.0955	0.0825	0.0130	MAX STEPS 100 REACHED, DISTANCE 0.0825.
169	-53.1	100	0.0554	0.0998	-0.0444	MAX STEPS 100 REACHED, DISTANCE 0.0998.
170	-51.1	100	0.0507	0.0787	-0.0281	MAX STEPS 100 REACHED, DISTANCE 0.0787.
171	-50.4	100	0.0601	0.0738	-0.0137	MAX STEPS 100 REACHED, DISTANCE 0.0738.
172	-49.5	100	0.0678	0.0544	0.0134	MAX STEPS 100 REACHED, DISTANCE 0.0544.
173	-50.2	100	0.0844	0.0371	0.0473	MAX STEPS 100 REACHED, DISTANCE 0.0371.
174	-44.6	100	0.0303	0.0436	-0.0133	MAX STEPS 100 REACHED, DISTANCE 0.0436.
175	-155.0	98	0.1114	0.1042	0.0072	ACTUATOR EXCEEDED: l1 = 0.0740 @step 98
176	-53.1	100	0.0907	0.0600	0.0307	MAX STEPS 100 REACHED, DISTANCE 0.0600.
177	-47.1	100	0.0699	0.0204	0.0495	MAX STEPS 100 REACHED, DISTANCE 0.0204.
178	-52.1	100	0.0920	0.0817	0.0103	MAX STEPS 100 REACHED, DISTANCE 0.0817.
179	-56.5	100	0.0679	0.1208	-0.0529	MAX STEPS 100 REACHED, DISTANCE 0.1208.
180	-52.4	100	0.0863	0.0758	0.0105	MAX STEPS 100 REACHED, DISTANCE 0.0758.
181	-54.6	100	0.0647	0.1013	-0.0365	MAX STEPS 100 REACHED, DISTANCE 0.1013.
182	-49.2	100	0.0684	0.0480	0.0204	MAX STEPS 100 REACHED, DISTANCE 0.0480.
183	-49.7	100	0.0550	0.0606	-0.0056	MAX STEPS 100 REACHED, DISTANCE 0.0606.
184	-154.8	94	0.1052	0.1314	-0.0263	ACTUATOR EXCEEDED: l1 = 0.0740 @step 94
185	-51.3	100	0.0638	0.0544	0.0095	MAX STEPS 100 REACHED, DISTANCE 0.0544.
186	-50.5	100	0.0943	0.0562	0.0381	MAX STEPS 100 REACHED, DISTANCE 0.0562.
187	-44.1	100	0.0571	0.0462	0.0109	MAX STEPS 100 REACHED, DISTANCE 0.0462.
188	-54.1	100	0.0809	0.0832	-0.0023	MAX STEPS 100 REACHED, DISTANCE 0.0832.
189	-56.9	100	0.0846	0.1065	-0.0219	MAX STEPS 100 REACHED, DISTANCE 0.1065.
190	-55.1	100	0.1166	0.0618	0.0548	MAX STEPS 100 REACHED, DISTANCE 0.0618.
191	-49.3	100	0.0817	0.0613	0.0204	MAX STEPS 100 REACHED, DISTANCE 0.0613.
192	-42.3	100	0.0680	0.0167	0.0513	MAX STEPS 100 REACHED, DISTANCE 0.0167.
193	-54.6	100	0.0715	0.0722	-0.0007	MAX STEPS 100 REACHED, DISTANCE 0.0722.
194	-43.5	100	0.0620	0.0335	0.0286	MAX STEPS 100 REACHED, DISTANCE 0.0335.
195	-145.4	97	0.0769	0.0102	0.0668	ACTUATOR EXCEEDED: l3 = 0.0740 @step 97
196	-46.7	100	0.0345	0.0427	-0.0083	MAX STEPS 100 REACHED, DISTANCE 0.0427.
197	-143.5	98	0.0613	0.0670	-0.0056	ACTUATOR EXCEEDED: l3 = 0.0740 @step 98
198	-138.4	78	0.0475	0.0918	-0.0443	ACTUATOR EXCEEDED: l3 = 0.0740 @step 78
199	-39.2	100	0.0389	0.0341	0.0048	MAX STEPS 100 REACHED, DISTANCE 0.0341.
200	-41.6	100	0.0521	0.0408	0.0113	MAX STEPS 100 REACHED, DISTANCE 0.0408.
201	-50.9	100	0.0607	0.0662	-0.0055	MAX STEPS 100 REACHED, DISTANCE 0.0662.
202	-55.5	100	0.1011	0.0920	0.0091	MAX STEPS 100 REACHED, DISTANCE 0.0920.
203	-48.5	100	0.0557	0.0587	-0.0030	MAX STEPS 100 REACHED, DISTANCE 0.0587.
204	-39.8	100	0.0703	0.0224	0.0479	MAX STEPS 100 REACHED, DISTANCE 0.0224.
205	-142.0	85	0.0885	0.0468	0.0417	ACTUATOR EXCEEDED: l1 = 0.0740 @step 85
206	-49.9	100	0.0593	0.0781	-0.0188	MAX STEPS 100 REACHED, DISTANCE 0.0781.
207	-42.8	100	0.0522	0.0556	-0.0034	MAX STEPS 100 REACHED, DISTANCE 0.0556.
208	-147.4	94	0.0792	0.0766	0.0026	ACTUATOR EXCEEDED: l3 = 0.0740 @step 94
209	-55.8	100	0.1009	0.0918	0.0091	MAX STEPS 100 REACHED, DISTANCE 0.0918.
210	-58.0	100	0.1020	0.1250	-0.0231	MAX STEPS 100 REACHED, DISTANCE 0.1250.
211	-48.8	100	0.0639	0.0672	-0.0034	MAX STEPS 100 REACHED, DISTANCE 0.0672.
212	-144.8	85	0.0815	0.0846	-0.0031	ACTUATOR EXCEEDED: l1 = 0.0740 @step 85
213	-41.2	100	0.0247	0.0357	-0.0110	MAX STEPS 100 REACHED, DISTANCE 0.0357.
214	-37.8	100	0.0338	0.0134	0.0204	MAX STEPS 100 REACHED, DISTANCE 0.0134.
215	-144.0	84	0.0872	0.0669	0.0203	ACTUATOR EXCEEDED: l1 = 0.0740 @step 84
216	-152.4	98	0.0827	0.1054	-0.0227	ACTUATOR EXCEEDED: l1 = 0.0740 @step 98
217	-126.0	48	0.0905	0.0821	0.0084	ACTUATOR EXCEEDED: l3 = 0.0740 @step 48
218	-142.9	84	0.0659	0.0942	-0.0283	ACTUATOR EXCEEDED: l1 = 0.0740 @step 84
219	-55.1	100	0.0905	0.0712	0.0193	MAX STEPS 100 REACHED, DISTANCE 0.0712.
220	-52.2	100	0.0997	0.0680	0.0317	MAX STEPS 100 REACHED, DISTANCE 0.0680.
221	-44.6	100	0.0597	0.0237	0.0359	MAX STEPS 100 REACHED, DISTANCE 0.0237.
222	-52.5	100	0.0734	0.0820	-0.0086	MAX STEPS 100 REACHED, DISTANCE 0.0820.
223	-49.4	100	0.0611	0.0762	-0.0152	MAX STEPS 100 REACHED, DISTANCE 0.0762.
224	-51.2	100	0.0662	0.0709	-0.0047	MAX STEPS 100 REACHED, DISTANCE 0.0709.
225	-153.0	95	0.0952	0.0867	0.0085	ACTUATOR EXCEEDED: l2 = 0.0740 @step 95
226	-53.7	100	0.0729	0.0760	-0.0030	MAX STEPS 100 REACHED, DISTANCE 0.0760.
227	-130.8	66	0.0628	0.0433	0.0195	ACTUATOR EXCEEDED: l2 = 0.0740 @step 66
228	-41.8	100	0.0397	0.0175	0.0221	MAX STEPS 100 REACHED, DISTANCE 0.0175.
229	-142.9	91	0.0679	0.0527	0.0152	ACTUATOR EXCEEDED: l1 = 0.0740 @step 91
230	-39.4	100	0.0356	0.0246	0.0110	MAX STEPS 100 REACHED, DISTANCE 0.0246.
231	-55.1	100	0.0960	0.0706	0.0254	MAX STEPS 100 REACHED, DISTANCE 0.0706.
232	-129.8	54	0.1135	0.0886	0.0249	ACTUATOR EXCEEDED: l2 = 0.0740 @step 54
233	-142.1	87	0.0671	0.0817	-0.0147	ACTUATOR EXCEEDED: l2 = 0.0740 @step 87
234	-44.5	100	0.0241	0.0451	-0.0210	MAX STEPS 100 REACHED, DISTANCE 0.0451.
235	-55.7	100	0.1039	0.0926	0.0113	MAX STEPS 100 REACHED, DISTANCE 0.0926.
236	-44.7	100	0.0704	0.0276	0.0428	MAX STEPS 100 REACHED, DISTANCE 0.0276.
237	-146.9	86	0.1078	0.0746	0.0332	ACTUATOR EXCEEDED: l3 = 0.0740 @step 86
238	-138.0	83	0.0730	0.0210	0.0519	ACTUATOR EXCEEDED: l3 = 0.0740 @step 83
239	-140.6	79	0.0722	0.0590	0.0133	ACTUATOR EXCEEDED: l3 = 0.0740 @step 79
240	-47.2	100	0.0310	0.0703	-0.0393	MAX STEPS 100 REACHED, DISTANCE 0.0703.
241	-148.6	88	0.1165	0.0822	0.0344	ACTUATOR EXCEEDED: l3 = 0.0740 @step 88
242	-138.6	69	0.1045	0.1118	-0.0073	ACTUATOR EXCEEDED: l3 = 0.0740 @step 69
243	-147.2	99	0.0934	0.0377	0.0557	ACTUATOR EXCEEDED: l2 = 0.0740 @step 99
244	-123.4	51	0.0873	0.0283	0.0590	ACTUATOR EXCEEDED: l3 = 0.0740 @step 51
245	-48.3	100	0.0759	0.0393	0.0366	MAX STEPS 100 REACHED, DISTANCE 0.0393.
246	-140.4	85	0.0661	0.0621	0.0040	ACTUATOR EXCEEDED: l3 = 0.0740 @step 85
247	-45.2	100	0.0467	0.0113	0.0355	MAX STEPS 100 REACHED, DISTANCE 0.0113.
248	-53.6	100	0.0938	0.0748	0.0190	MAX STEPS 100 REACHED, DISTANCE 0.0748.
249	-46.2	100	0.0393	0.0424	-0.0031	MAX STEPS 100 REACHED, DISTANCE 0.0424.
250	-48.4	100	0.0718	0.0453	0.0264	MAX STEPS 100 REACHED, DISTANCE 0.0453.
251	-54.7	100	0.1047	0.0820	0.0227	MAX STEPS 100 REACHED, DISTANCE 0.0820.
252	-37.4	100	0.0142	0.0345	-0.0203	MAX STEPS 100 REACHED, DISTANCE 0.0345.
253	-136.5	90	0.0729	0.0275	0.0454	ACTUATOR EXCEEDED: l3 = 0.0740 @step 90
254	-44.2	100	0.0454	0.0242	0.0212	MAX STEPS 100 REACHED, DISTANCE 0.0242.
255	-49.0	100	0.0571	0.0416	0.0154	MAX STEPS 100 REACHED, DISTANCE 0.0416.
256	-43.5	100	0.0319	0.0265	0.0053	MAX STEPS 100 REACHED, DISTANCE 0.0265.
257	-53.7	100	0.0753	0.0773	-0.0020	MAX STEPS 100 REACHED, DISTANCE 0.0773.
258	-151.8	97	0.0845	0.0975	-0.0130	ACTUATOR EXCEEDED: l3 = 0.0740 @step 97
259	-51.3	100	0.0669	0.0916	-0.0248	MAX STEPS 100 REACHED, DISTANCE 0.0916.
260	-44.4	100	0.0511	0.0484	0.0027	MAX STEPS 100 REACHED, DISTANCE 0.0484.
